frame,thumb_angle,index_angle,middle_angle,ring_angle,pinky_angle,sign,sign_character,dynamic
276,29.0,32.0,27.0,23.0,34.0,1.0,A,
277,17.0,31.0,37.0,51.0,55.0,1.0,A,
278,19.0,31.0,35.0,51.0,55.0,1.0,A,
279,32.0,12.0,9.0,15.0,13.0,1.0,A,
280,38.0,16.0,7.0,9.0,6.0,1.0,A,
281,31.0,13.0,4.0,10.0,4.0,1.0,A,
282,29.0,11.0,2.0,8.0,1.0,1.0,A,
283,28.0,11.0,3.0,8.0,2.0,1.0,A,
284,27.0,11.0,3.0,9.0,2.0,1.0,A,
285,24.0,10.0,1.0,9.0,1.0,1.0,A,
286,23.0,9.0,1.0,9.0,1.0,1.0,A,
287,23.0,8.0,1.0,9.0,1.0,1.0,A,
288,24.0,8.0,1.0,9.0,2.0,1.0,A,
289,23.0,8.0,1.0,9.0,1.0,1.0,A,
290,23.0,8.0,1.0,9.0,1.0,1.0,A,
291,25.0,10.0,1.0,8.0,3.0,1.0,A,
292,25.0,10.0,1.0,8.0,2.0,1.0,A,
293,25.0,9.0,1.0,8.0,3.0,1.0,A,
294,25.0,10.0,1.0,8.0,2.0,1.0,A,
295,25.0,10.0,1.0,8.0,2.0,1.0,A,
296,25.0,10.0,2.0,7.0,2.0,1.0,A,
297,25.0,10.0,2.0,7.0,2.0,1.0,A,
298,26.0,11.0,2.0,7.0,2.0,1.0,A,
299,26.0,11.0,2.0,7.0,3.0,1.0,A,
300,26.0,10.0,2.0,7.0,3.0,1.0,A,
301,26.0,10.0,1.0,7.0,3.0,1.0,A,
302,26.0,10.0,1.0,7.0,4.0,1.0,A,
303,26.0,10.0,2.0,7.0,3.0,1.0,A,
304,26.0,10.0,1.0,7.0,3.0,1.0,A,
305,26.0,10.0,2.0,7.0,3.0,1.0,A,
306,26.0,10.0,1.0,7.0,3.0,1.0,A,
307,26.0,10.0,1.0,7.0,4.0,1.0,A,
308,26.0,10.0,1.0,7.0,3.0,1.0,A,
309,26.0,10.0,2.0,7.0,3.0,1.0,A,
310,26.0,10.0,1.0,7.0,3.0,1.0,A,
311,26.0,10.0,2.0,7.0,3.0,1.0,A,
312,26.0,10.0,1.0,7.0,3.0,1.0,A,
313,26.0,10.0,1.0,7.0,3.0,1.0,A,
314,26.0,10.0,2.0,7.0,3.0,1.0,A,
315,26.0,10.0,1.0,7.0,3.0,1.0,A,
316,26.0,10.0,1.0,7.0,3.0,1.0,A,
317,26.0,10.0,2.0,7.0,4.0,1.0,A,
318,26.0,10.0,1.0,7.0,3.0,1.0,A,
319,26.0,10.0,1.0,7.0,3.0,1.0,A,
320,26.0,10.0,1.0,7.0,3.0,1.0,A,
321,26.0,10.0,1.0,7.0,3.0,1.0,A,
322,26.0,10.0,1.0,7.0,3.0,1.0,A,
323,26.0,10.0,1.0,7.0,3.0,1.0,A,
324,26.0,10.0,1.0,7.0,3.0,1.0,A,
325,26.0,10.0,1.0,7.0,3.0,1.0,A,
326,26.0,10.0,1.0,7.0,3.0,1.0,A,
327,26.0,10.0,1.0,7.0,3.0,1.0,A,
328,26.0,10.0,1.0,7.0,3.0,1.0,A,
329,26.0,10.0,1.0,7.0,3.0,1.0,A,
359,26.0,10.0,1.0,7.0,3.0,2.0,AA,
