frame,thumb_angle,index_angle,middle_angle,ring_angle,pinky_angle,label
152,51.0,33.0,55.0,88.0,105.0,
153,40.0,21.0,64.0,90.0,103.0,
160,49.0,53.0,93.0,107.0,87.0,
161,32.0,57.0,73.0,81.0,76.0,
162,56.0,47.0,152.0,171.0,156.0,
165,46.0,52.0,44.0,31.0,29.0,
166,47.0,48.0,39.0,29.0,31.0,
167,6.0,104.0,112.0,112.0,115.0,
168,59.0,43.0,30.0,22.0,31.0,
169,20.0,29.0,32.0,35.0,44.0,
170,50.0,38.0,34.0,29.0,30.0,
171,16.0,18.0,33.0,47.0,76.0,
172,7.0,25.0,35.0,41.0,51.0,
173,48.0,35.0,32.0,30.0,38.0,
174,43.0,13.0,31.0,44.0,52.0,
175,48.0,21.0,41.0,57.0,69.0,
176,22.0,39.0,41.0,38.0,35.0,
177,25.0,22.0,22.0,23.0,22.0,
178,14.0,13.0,17.0,26.0,27.0,
179,28.0,12.0,19.0,32.0,26.0,
180,35.0,30.0,12.0,46.0,26.0,
181,56.0,13.0,38.0,57.0,28.0,
182,40.0,9.0,11.0,26.0,6.0,
183,31.0,22.0,19.0,16.0,8.0,
194,27.0,31.0,65.0,80.0,93.0,
195,67.0,46.0,25.0,33.0,33.0,
196,49.0,24.0,24.0,25.0,13.0,
197,34.0,68.0,76.0,65.0,46.0,
198,42.0,71.0,49.0,37.0,22.0,
199,32.0,50.0,39.0,36.0,27.0,
200,29.0,37.0,30.0,30.0,18.0,
201,28.0,29.0,21.0,22.0,10.0,
202,23.0,60.0,42.0,32.0,22.0,
203,18.0,56.0,56.0,42.0,37.0,
204,15.0,49.0,52.0,49.0,54.0,
205,21.0,43.0,70.0,59.0,49.0,
206,33.0,23.0,17.0,19.0,56.0,
207,24.0,37.0,50.0,46.0,9.0,
208,20.0,23.0,57.0,36.0,17.0,
210,48.0,29.0,38.0,30.0,26.0,
211,29.0,13.0,16.0,12.0,19.0,
212,34.0,23.0,18.0,15.0,18.0,
213,24.0,26.0,28.0,20.0,13.0,
214,26.0,27.0,38.0,35.0,11.0,
215,26.0,29.0,36.0,34.0,11.0,
216,22.0,27.0,34.0,35.0,11.0,
217,20.0,30.0,23.0,24.0,9.0,
218,20.0,29.0,32.0,31.0,6.0,
219,16.0,29.0,39.0,33.0,4.0,
220,20.0,9.0,27.0,20.0,18.0,
221,20.0,38.0,23.0,44.0,55.0,
222,14.0,27.0,22.0,21.0,16.0,
223,18.0,40.0,21.0,43.0,59.0,
224,14.0,18.0,32.0,67.0,71.0,
225,10.0,21.0,21.0,48.0,54.0,
226,9.0,24.0,32.0,39.0,49.0,
227,46.0,54.0,43.0,89.0,83.0,
228,22.0,68.0,90.0,87.0,89.0,
229,21.0,13.0,43.0,51.0,69.0,
230,5.0,18.0,30.0,46.0,52.0,
231,40.0,13.0,32.0,36.0,59.0,
232,27.0,16.0,30.0,25.0,35.0,
233,28.0,19.0,24.0,15.0,27.0,
234,26.0,22.0,27.0,21.0,26.0,
235,24.0,7.0,15.0,15.0,20.0,
236,17.0,2.0,13.0,16.0,20.0,
237,18.0,3.0,10.0,15.0,20.0,
238,16.0,3.0,14.0,18.0,18.0,
239,16.0,2.0,12.0,16.0,19.0,
240,17.0,3.0,14.0,16.0,18.0,
241,18.0,5.0,9.0,13.0,19.0,
242,17.0,3.0,16.0,14.0,19.0,
243,26.0,21.0,13.0,17.0,18.0,
244,15.0,23.0,22.0,27.0,39.0,
245,56.0,17.0,19.0,20.0,40.0,
252,27.0,10.0,22.0,38.0,79.0,
276,29.0,32.0,27.0,23.0,34.0,
277,17.0,31.0,37.0,51.0,55.0,
278,19.0,31.0,35.0,51.0,55.0,
279,32.0,12.0,9.0,15.0,13.0,
280,38.0,16.0,7.0,9.0,6.0,
281,31.0,13.0,4.0,10.0,4.0,
282,29.0,11.0,2.0,8.0,1.0,
283,28.0,11.0,3.0,8.0,2.0,
284,27.0,11.0,3.0,9.0,2.0,
285,24.0,10.0,1.0,9.0,1.0,
286,23.0,9.0,1.0,9.0,1.0,1
287,23.0,8.0,1.0,9.0,1.0,1
288,24.0,8.0,1.0,9.0,2.0,1
289,23.0,8.0,1.0,9.0,1.0,1
290,23.0,8.0,1.0,9.0,1.0,1
291,25.0,10.0,1.0,8.0,3.0,1
292,25.0,10.0,1.0,8.0,2.0,1
293,25.0,9.0,1.0,8.0,3.0,1
294,25.0,10.0,1.0,8.0,2.0,1
295,25.0,10.0,1.0,8.0,2.0,1
296,25.0,10.0,2.0,7.0,2.0,1
297,25.0,10.0,2.0,7.0,2.0,1
298,26.0,11.0,2.0,7.0,2.0,1
299,26.0,11.0,2.0,7.0,3.0,1
300,26.0,10.0,2.0,7.0,3.0,1
301,26.0,10.0,1.0,7.0,3.0,1
302,26.0,10.0,1.0,7.0,4.0,1
303,26.0,10.0,2.0,7.0,3.0,1
304,26.0,10.0,1.0,7.0,3.0,1
305,26.0,10.0,2.0,7.0,3.0,1
306,26.0,10.0,1.0,7.0,3.0,1
307,26.0,10.0,1.0,7.0,4.0,1
308,26.0,10.0,1.0,7.0,3.0,1
309,26.0,10.0,2.0,7.0,3.0,1
310,26.0,10.0,1.0,7.0,3.0,1
311,26.0,10.0,2.0,7.0,3.0,1
312,26.0,10.0,1.0,7.0,3.0,1
313,26.0,10.0,1.0,7.0,3.0,1
314,26.0,10.0,2.0,7.0,3.0,1
315,26.0,10.0,1.0,7.0,3.0,1
316,26.0,10.0,1.0,7.0,3.0,1
317,26.0,10.0,2.0,7.0,4.0,1
318,26.0,10.0,1.0,7.0,3.0,1
319,26.0,10.0,1.0,7.0,3.0,1
320,26.0,10.0,1.0,7.0,3.0,1
321,26.0,10.0,1.0,7.0,3.0,1
322,26.0,10.0,1.0,7.0,3.0,1
323,26.0,10.0,1.0,7.0,3.0,1
324,26.0,10.0,1.0,7.0,3.0,1
325,26.0,10.0,1.0,7.0,3.0,1
326,26.0,10.0,1.0,7.0,3.0,1
327,26.0,10.0,1.0,7.0,3.0,1
328,26.0,10.0,1.0,7.0,3.0,1
329,26.0,10.0,1.0,7.0,3.0,1
330,26.0,10.0,1.0,7.0,3.0,1
331,26.0,10.0,1.0,7.0,3.0,1
332,26.0,10.0,1.0,7.0,3.0,1
333,26.0,10.0,1.0,7.0,3.0,1
334,26.0,10.0,2.0,7.0,3.0,1
335,26.0,10.0,1.0,7.0,3.0,1
336,26.0,10.0,1.0,7.0,4.0,1
337,26.0,10.0,1.0,7.0,3.0,1
338,26.0,10.0,1.0,7.0,3.0,1
339,26.0,10.0,1.0,7.0,3.0,1
340,26.0,10.0,1.0,7.0,3.0,1
341,26.0,10.0,1.0,7.0,4.0,1
342,26.0,10.0,1.0,7.0,3.0,1
343,26.0,10.0,1.0,7.0,3.0,1
344,26.0,10.0,2.0,7.0,3.0,1
345,26.0,10.0,1.0,7.0,3.0,1
346,26.0,10.0,1.0,7.0,4.0,1
347,26.0,10.0,2.0,7.0,3.0,1
348,26.0,10.0,1.0,7.0,3.0,
349,26.0,10.0,1.0,7.0,3.0,
350,26.0,10.0,1.0,7.0,3.0,
351,26.0,10.0,1.0,7.0,4.0,
352,26.0,10.0,2.0,7.0,3.0,
353,26.0,10.0,1.0,7.0,3.0,
354,26.0,10.0,1.0,7.0,3.0,
355,26.0,10.0,2.0,7.0,3.0,
356,26.0,10.0,1.0,7.0,3.0,
357,26.0,10.0,1.0,7.0,3.0,
358,26.0,10.0,1.0,7.0,3.0,
359,26.0,10.0,1.0,7.0,3.0,
360,26.0,11.0,2.0,7.0,3.0,
361,26.0,11.0,2.0,7.0,3.0,
362,26.0,10.0,1.0,7.0,3.0,
363,26.0,10.0,2.0,7.0,3.0,
364,26.0,11.0,2.0,7.0,3.0,
365,27.0,11.0,2.0,7.0,3.0,
366,26.0,10.0,2.0,7.0,3.0,
367,26.0,11.0,2.0,7.0,3.0,
