frame,thumb_angle,index_angle,middle_angle,ring_angle,pinky_angle,label,sign,dynamic
286,23.0,9.0,1.0,9.0,1.0,1.0,1.0,
287,23.0,8.0,1.0,9.0,1.0,1.0,1.0,
288,24.0,8.0,1.0,9.0,2.0,1.0,1.0,
289,23.0,8.0,1.0,9.0,1.0,1.0,1.0,
290,23.0,8.0,1.0,9.0,1.0,1.0,1.0,
291,25.0,10.0,1.0,8.0,3.0,1.0,1.0,
292,25.0,10.0,1.0,8.0,2.0,1.0,1.0,
293,25.0,9.0,1.0,8.0,3.0,1.0,1.0,
294,25.0,10.0,1.0,8.0,2.0,1.0,1.0,
295,25.0,10.0,1.0,8.0,2.0,1.0,1.0,
296,25.0,10.0,2.0,7.0,2.0,1.0,1.0,
297,25.0,10.0,2.0,7.0,2.0,1.0,1.0,
298,26.0,11.0,2.0,7.0,2.0,1.0,1.0,
299,26.0,11.0,2.0,7.0,3.0,1.0,1.0,
300,26.0,10.0,2.0,7.0,3.0,1.0,1.0,
301,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
302,26.0,10.0,1.0,7.0,4.0,1.0,1.0,
303,26.0,10.0,2.0,7.0,3.0,1.0,1.0,
304,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
305,26.0,10.0,2.0,7.0,3.0,1.0,1.0,
306,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
307,26.0,10.0,1.0,7.0,4.0,1.0,1.0,
308,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
309,26.0,10.0,2.0,7.0,3.0,1.0,1.0,
310,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
311,26.0,10.0,2.0,7.0,3.0,1.0,1.0,
312,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
313,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
314,26.0,10.0,2.0,7.0,3.0,1.0,1.0,
315,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
316,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
317,26.0,10.0,2.0,7.0,4.0,1.0,1.0,
318,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
319,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
320,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
321,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
322,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
323,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
324,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
325,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
326,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
327,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
328,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
329,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
330,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
331,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
332,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
333,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
334,26.0,10.0,2.0,7.0,3.0,1.0,1.0,
335,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
336,26.0,10.0,1.0,7.0,4.0,1.0,1.0,
337,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
338,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
339,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
340,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
341,26.0,10.0,1.0,7.0,4.0,1.0,1.0,
342,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
343,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
344,26.0,10.0,2.0,7.0,3.0,1.0,1.0,
345,26.0,10.0,1.0,7.0,3.0,1.0,1.0,
346,26.0,10.0,1.0,7.0,4.0,1.0,1.0,
347,26.0,10.0,2.0,7.0,3.0,1.0,1.0,
392,12.0,30.0,33.0,24.0,22.0,2.0,2.0,
