sign,0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,10_0,10_1,10_2,11_0,11_1,11_2,12_0,12_1,12_2,13_0,13_1,13_2,14_0,14_1,14_2,15_0,15_1,15_2,16_0,16_1,16_2,17_0,17_1,17_2,18_0,18_1,18_2,19_0,19_1,19_2,20_0,20_1,20_2,source
1,0,0,0,-0.3237,0.141,-0.2201,-0.5062,0.4822,-0.3202,-0.5073,0.8542,-0.4164,-0.4056,1.1679,-0.4998,-0.24,0.9561,0.0268,-0.2087,1.4204,0.0038,-0.1491,1.7023,-0.0211,-0.086,1.9293,-0.0244,-0.0046,0.9989,0.0443,0.0316,1.5041,0.0755,0.0893,1.8161,0.036,0.1463,2.0556,0.0206,0.2045,0.9636,0.0265,0.2545,1.4343,0.0476,0.3062,1.7332,-0.0068,0.3414,1.9688,-0.0516,0.4212,0.8663,-0.0265,0.4869,1.2543,-0.0463,0.5205,1.4946,-0.0983,0.5355,1.7106,-0.1444,7
1,0,0,0,-0.2681,0.2867,-0.2627,-0.3265,0.6738,-0.3908,-0.2802,0.9754,-0.495,-0.1957,1.1121,-0.5365,-0.2081,1.0389,-0.1421,-0.1403,1.6446,-0.382,-0.1245,1.9382,-0.5558,-0.1221,2.1467,-0.6715,-0.022,0.997,-0.0529,0.033,1.6843,-0.243,0.0526,2.0777,-0.4089,0.0743,2.3697,-0.5033,0.1638,0.9064,-0.0102,0.1782,1.5648,-0.201,0.18,1.9557,-0.3585,0.186,2.2358,-0.4517,0.3411,0.7843,0.0102,0.3455,1.3537,-0.1405,0.348,1.6617,-0.2184,0.3571,1.915,-0.2699,7
2,0,0,0,-0.2711,0.0789,-0.1834,-0.3738,0.3111,-0.3035,-0.3725,0.4314,-0.4428,-0.3473,0.5873,-0.5844,-0.3547,0.9408,0.0302,-0.3545,1.3378,-0.0244,-0.3087,1.4741,-0.1762,-0.2576,1.4636,-0.3345,-0.1471,0.9781,0.049,-0.1309,1.451,-0.0223,-0.0872,1.5571,-0.2284,-0.0588,1.498,-0.3931,0.0762,0.9086,0.0289,0.0889,1.4027,-0.0289,0.094,1.5294,-0.2173,0.0807,1.5107,-0.3616,0.2886,0.7694,-0.0289,0.3117,1.167,-0.0754,0.3161,1.3484,-0.1956,0.3066,1.4461,-0.304,7
2,0,0,0,-0.2956,0.0713,-0.1883,-0.4076,0.3051,-0.3188,-0.4005,0.4235,-0.4598,-0.3771,0.5872,-0.5947,-0.3621,0.9478,0.0075,-0.3404,1.3922,-0.0977,-0.3077,1.483,-0.2805,-0.2774,1.4141,-0.445,-0.1468,0.98,0.0378,-0.1329,1.463,-0.1256,-0.083,1.5174,-0.3707,-0.0541,1.4102,-0.537,0.0781,0.9156,0.0295,0.0725,1.4271,-0.1294,0.0642,1.4758,-0.367,0.0422,1.3677,-0.5251,0.286,0.7824,-0.0295,0.2703,1.195,-0.1569,0.2477,1.3106,-0.3178,0.2137,1.32,-0.4503,7
3,0,0,0,-0.1986,0.1289,-0.1741,-0.1937,0.3528,-0.3504,-0.0789,0.4745,-0.501,0.0885,0.5299,-0.551,-0.3343,0.9665,-0.0191,-0.4299,1.4262,-0.0872,-0.4268,1.4935,-0.2654,-0.3809,1.4238,-0.4133,-0.1579,0.9687,0.0565,-0.1834,0.9994,-0.2988,-0.1683,0.6795,-0.3557,-0.1322,0.5305,-0.292,0.0573,0.8616,0.0384,0.0126,0.8373,-0.3626,-0.035,0.5312,-0.3307,-0.0434,0.4361,-0.2025,0.2711,0.7169,-0.0384,0.199,0.672,-0.3692,0.1553,0.4551,-0.3592,0.1586,0.3845,-0.2527,7
3,0,0,0,-0.2507,0.166,-0.1688,-0.2656,0.3946,-0.2959,-0.1708,0.5146,-0.4186,-0.0175,0.5522,-0.5218,-0.3262,0.9692,-0.063,-0.3245,1.3807,-0.1634,-0.2745,1.4432,-0.327,-0.2162,1.3896,-0.4602,-0.1536,0.9709,0.0108,-0.0894,0.9689,-0.3554,-0.0635,0.6645,-0.4155,-0.0634,0.5314,-0.3568,0.0585,0.855,0.0133,0.0839,0.8538,-0.3666,0.0537,0.5378,-0.3693,0.0061,0.4304,-0.2689,0.264,0.6958,-0.0133,0.2474,0.6959,-0.3276,0.1901,0.4704,-0.3354,0.1406,0.3817,-0.2539,7
3,0,0,0,-0.1879,0.1195,-0.1376,-0.1944,0.3634,-0.3131,-0.0904,0.5299,-0.4933,0.095,0.6269,-0.5923,-0.3141,0.9657,0.0638,-0.3325,1.3931,-0.0131,-0.3714,1.4484,-0.154,-0.3926,1.4122,-0.2749,-0.1259,0.9779,0.0997,-0.1418,0.9745,-0.2682,-0.1204,0.6559,-0.3146,-0.1253,0.559,-0.224,0.0815,0.8908,0.048,0.0098,0.8398,-0.3187,-0.0106,0.54,-0.2827,-0.0163,0.4911,-0.1346,0.2826,0.7622,-0.048,0.1585,0.697,-0.306,0.1421,0.5177,-0.3005,0.1717,0.506,-0.2039,7
5,0,0,0, 0.2304, 0.1538, 0.4295, 0.4352, 0.3906, 0.6729, 0.4963, 0.6176, 0.8503, 0.5888, 0.8227, 0.963, 0.2582, 0.9304, 0.2086, 0.0299, 1.1672, 0.7567, -0.1142, 1.3309, 1.1188, -0.2729, 1.484, 1.3929, 0.0181, 0.9999, 0.013, -0.3586, 1.2674, 0.6994, -0.5678, 1.4076, 1.1229, -0.688, 1.5576, 1.4869, -0.1916, 0.9718, -0.0254, -0.6363, 1.1868, 0.595, -0.9065, 1.307, 0.9521, -1.0968, 1.4169, 1.2429, -0.3299, 0.8948, 0.0254, -0.726, 1.1016, 0.4649, -0.9577, 1.193, 0.7421, -1.13, 1.2879, 1.0044
5,0,0,0,-0.3323,0.0875,-0.1642,-0.4501,0.4313,-0.1896,-0.4639,0.716,-0.2242,-0.4448,0.9036,-0.253,-0.3691,0.9214,0.0393,-0.4254,1.0136,-0.243,-0.4081,1.0732,-0.4641,-0.3943,1.1187,-0.6627,-0.1348,0.9866,0.0665,-0.2824,1.0858,-0.303,-0.3093,1.1154,-0.5317,-0.3312,1.1426,-0.727,0.0919,0.9435,0.0387,-0.059,1.06,-0.3375,-0.1078,1.095,-0.5724,-0.132,1.155,-0.7705,0.3019,0.8409,-0.0387,0.1539,0.9519,-0.349,0.0702,0.9507,-0.5223,0.0135,0.9772,-0.6787,7
7,0,0,0,-0.2798,0.1457,-0.1226,-0.5378,0.5047,-0.2167,-0.791,0.7619,-0.2736,-1.0652,0.9702,-0.2395,-0.3604,0.9364,-0.1058,-0.248,1.2471,-0.3351,-0.1902,1.4482,-0.4664,-0.1456,1.6902,-0.5366,-0.1416,0.9115,-0.0773,0.0474,1.004,-0.3119,0.0099,0.8088,-0.3338,-0.0718,0.7281,-0.2563,0.0862,0.8059,-0.03,0.2107,0.8478,-0.2569,0.1707,0.7205,-0.2435,0.1226,0.6973,-0.1395,0.2998,0.6827,0.03,0.349,0.8207,-0.1541,0.3118,0.6893,-0.1464,0.2923,0.6111,-0.0722,7
7,0,0,0,-0.2656,0.1957,-0.1904,-0.4783,0.5494,-0.3292,-0.7006,0.788,-0.3886,-0.9166,0.906,-0.3602,-0.3255,1.0169,-0.1465,-0.2362,1.3432,-0.4177,-0.165,1.4883,-0.5881,-0.0995,1.5995,-0.7093,-0.1229,0.9486,-0.087,-0.0032,1.0791,-0.4023,-0.0278,0.7516,-0.4935,-0.0728,0.5922,-0.4793,0.0903,0.8373,-0.026,0.1687,0.9495,-0.3293,0.145,0.7043,-0.3597,0.1082,0.6044,-0.2991,0.2921,0.7211,0.026,0.3122,0.8612,-0.2524,0.2843,0.6584,-0.2966,0.2709,0.5579,-0.2395,7
9,0,0,0,-0.245,0.1467,-0.3061,-0.2535,0.4334,-0.4284,-0.1564,0.6394,-0.5233,-0.1057,0.8155,-0.5359,-0.3576,0.9697,-0.094,-0.2996,0.9472,-0.4297,-0.3496,0.6981,-0.4275,-0.4187,0.6346,-0.3229,-0.1581,0.9888,-0.0067,-0.0781,0.9612,-0.4308,-0.1247,0.6894,-0.4087,-0.2309,0.6548,-0.2931,0.0675,0.9525,0.0155,0.0701,0.8967,-0.41,0.0466,0.6434,-0.3777,0.0053,0.6314,-0.2621,0.2956,0.8711,-0.0155,0.2153,0.7759,-0.3619,0.1789,0.5606,-0.3268,0.1557,0.5304,-0.2033,7
9,0,0,0,-0.2687,0.1702,-0.2603,-0.2687,0.4501,-0.3945,-0.143,0.653,-0.4948,-0.0226,0.7801,-0.4883,-0.3787,0.9742,-0.0379,-0.3287,0.9625,-0.3478,-0.3174,0.6708,-0.3455,-0.345,0.596,-0.2412,-0.1616,0.9864,0.0266,-0.1007,0.9541,-0.3812,-0.1121,0.6299,-0.3622,-0.2036,0.5892,-0.2317,0.0704,0.9592,0.0254,0.0539,0.9026,-0.3661,0.0423,0.6181,-0.3428,0.0094,0.5894,-0.2261,0.2999,0.8901,-0.0254,0.1966,0.8097,-0.32,0.1804,0.5851,-0.2941,0.1818,0.5446,-0.18,7
9,0,0,0,-0.2158,0.2701,-0.1573,-0.3532,0.6311,-0.3067,-0.2892,1.014,-0.4157,-0.0467,1.2322,-0.4332,-0.2231,0.9913,0.1076,-0.1589,1.3473,-0.1054,-0.1617,1.049,-0.2636,-0.1588,0.8432,-0.2783,-0.0382,0.9913,0.1042,0.0428,1.3234,-0.1772,-0.0101,0.9217,-0.3223,-0.0278,0.683,-0.272,0.1707,0.9513,0.0384,0.2225,1.2385,-0.2201,0.135,0.8442,-0.3125,0.1066,0.5852,-0.2548,0.3973,0.8699,-0.0384,0.3984,1.1632,-0.1554,0.2947,0.9099,-0.2252,0.2499,0.6728,-0.2033,7
9,0,0,0,-0.2283,0.2535,-0.1771,-0.3871,0.6053,-0.3419,-0.3505,0.9754,-0.4963,-0.1137,1.2064,-0.5286,-0.2188,0.9759,0.1205,-0.1476,1.2911,-0.189,-0.1573,0.9818,-0.3643,-0.1499,0.7792,-0.365,-0.0411,0.9903,0.1092,0.0315,1.2782,-0.2639,-0.0122,0.8565,-0.3899,-0.0092,0.6573,-0.2975,0.1808,0.9745,0.0378,0.2344,1.2427,-0.2827,0.155,0.833,-0.345,0.1377,0.5995,-0.2401,0.4283,0.9292,-0.0378,0.4244,1.2099,-0.1946,0.3159,0.9532,-0.2311,0.2695,0.7183,-0.1567,7
13,0,0,0,-0.1923,0.2169,-0.1683,-0.1811,0.5816,-0.3109,-0.0933,0.9197,-0.4237,0.0097,1.163,-0.479,-0.3263,1.0053,-0.1084,-0.4379,1.5944,-0.2576,-0.5204,1.942,-0.3292,-0.6127,2.2041,-0.3832,-0.1438,0.974,-0.0292,-0.1416,1.4256,-0.4602,-0.2095,1.6841,-0.7429,-0.2638,1.9041,-0.9596,0.059,0.8734,0.0029,0.1651,0.8896,-0.3853,0.1129,0.5887,-0.3064,0.0378,0.4453,-0.1897,0.2859,0.7762,-0.0029,0.2891,0.678,-0.3237,0.2045,0.4812,-0.2926,0.1124,0.394,-0.2066,7
13,0,0,0,-0.1801,0.2159,-0.1406,-0.2645,0.5872,-0.2688,-0.2714,0.9415,-0.3593,-0.1969,1.2179,-0.3818,-0.3147,0.9994,0.0611,-0.4394,1.4627,-0.0113,-0.5487,1.7816,-0.0266,-0.657,2.0569,-0.0408,-0.1193,0.9754,0.0956,-0.2119,1.2842,-0.1675,-0.3383,1.4493,-0.3091,-0.4442,1.5949,-0.4215,0.0795,0.8849,0.0538,0.0176,0.8769,-0.3313,0.0071,0.6144,-0.341,0.0203,0.4789,-0.2834,0.2781,0.7627,-0.0538,0.1773,0.6821,-0.356,0.1322,0.4976,-0.3718,0.128,0.4084,-0.3159,7
13,0,0,0,-0.2259,0.2187,-0.201,-0.2733,0.6967,-0.2425,-0.1033,1.1221,-0.2695,0.1015,1.3734,-0.2622,-0.2454,0.9925,0.0122,-0.2307,1.4587,-0.0869,-0.1843,1.8189,-0.1074,-0.1217,2.1209,-0.0739,-0.0018,0.9989,0.0389,0.1682,1.4851,-0.0935,0.3608,1.8729,-0.1948,0.5394,2.2039,-0.2078,0.1901,0.9201,0.016,0.3939,1.2038,-0.2887,0.2417,0.821,-0.3357,0.0957,0.5389,-0.2335,0.3652,0.8077,-0.016,0.5159,1.0635,-0.2584,0.3799,0.7776,-0.3064,0.2483,0.5543,-0.2313,7
14,0,0,0,-0.2665,0.2673,-0.1862,-0.4099,0.6831,-0.3948,-0.4738,0.9973,-0.5851,-0.4866,1.2387,-0.687,-0.3065,1.0585,-0.1623,-0.2807,1.351,-0.4448,-0.2713,1.45,-0.6194,-0.267,1.5521,-0.7501,-0.1179,0.946,-0.0967,-0.0869,1.0979,-0.4858,-0.1051,0.7387,-0.4963,-0.1303,0.5723,-0.4275,0.0904,0.8137,-0.0289,0.1158,0.9014,-0.4085,0.0745,0.5582,-0.3934,0.0367,0.4105,-0.324,0.2847,0.7059,0.0289,0.2707,0.8087,-0.2789,0.239,0.6363,-0.2521,0.2291,0.5845,-0.1851,7
14,0,0,0,-0.2364,0.126,-0.3554,-0.33,0.5466,-0.511,-0.263,1.0083,-0.5594,-0.2272,1.3839,-0.5753,-0.2273,0.9253,-0.1311,-0.1214,1.3943,-0.3626,-0.0929,1.6698,-0.4551,-0.0713,1.9996,-0.45,-0.0048,0.998,-0.0338,0.131,1.2588,-0.4099,0.0366,0.819,-0.5007,0.0178,0.8204,-0.3041,0.2253,0.9996,0.0025,0.3474,1.202,-0.3616,0.1934,0.7651,-0.433,0.1627,0.757,-0.2288,0.4597,0.9715,-0.0025,0.5241,1.098,-0.225,0.3683,0.7735,-0.3194,0.3255,0.7473,-0.2345,7
14,0,0,0,-0.2346,0.1626,-0.1332,-0.3538,0.4735,-0.3129,-0.2896,0.6435,-0.4671,-0.2159,0.7193,-0.5393,-0.317,1.021,-0.1618,-0.2921,1.3238,-0.4678,-0.2834,1.4376,-0.6623,-0.2783,1.5616,-0.8029,-0.119,0.9321,-0.1049,-0.0583,1.0588,-0.4279,-0.0632,0.7273,-0.4437,-0.0969,0.5819,-0.39,0.0914,0.7993,-0.0348,0.128,0.8686,-0.3476,0.1171,0.5975,-0.3484,0.0969,0.5134,-0.2764,0.291,0.6662,0.0348,0.2805,0.7726,-0.2335,0.2637,0.6153,-0.2034,0.2699,0.5525,-0.1178,7
