sign,0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,10_0,10_1,10_2,11_0,11_1,11_2,12_0,12_1,12_2,13_0,13_1,13_2,14_0,14_1,14_2,15_0,15_1,15_2,16_0,16_1,16_2,17_0,17_1,17_2,18_0,18_1,18_2,19_0,19_1,19_2,20_0,20_1,20_2,source
1,0,0,0,-0.3872,0.2468,-0.2449,-0.634,0.5861,-0.3061,-0.7685,0.9212,-0.3225,-0.9611,1.177,-0.3694,-0.2472,0.994,-0.0078,-0.197,1.4483,-0.0468,-0.1541,1.7546,-0.099,-0.1107,2.017,-0.1183,0.0007,0.9983,0.04,0.0584,1.4739,0.0321,0.1013,1.8004,0.0152,0.1456,2.0807,0.0188,0.215,0.9301,0.0282,0.2942,1.3622,0.0204,0.3157,1.6448,0.022,0.3213,1.8906,0.0424,0.4128,0.8191,-0.0282,0.492,1.1573,-0.0453,0.4932,1.3707,-0.0352,0.4761,1.5688,-0.0083,3
1,0,0,0,-0.3977,0.2589,-0.2581,-0.65,0.608,-0.3166,-0.7785,0.9489,-0.3281,-0.9695,1.2176,-0.3657,-0.248,1.0012,-0.0189,-0.1882,1.4587,-0.0593,-0.1397,1.7653,-0.1128,-0.0902,2.0261,-0.1333,0.0016,0.9988,0.0343,0.077,1.4786,0.0295,0.1263,1.8042,0.0128,0.1724,2.0805,0.0136,0.2109,0.9289,0.0272,0.3002,1.3614,0.0194,0.3255,1.6475,0.0176,0.3356,1.8928,0.0333,0.4059,0.8153,-0.0272,0.4898,1.1505,-0.0489,0.4958,1.3666,-0.0443,0.4849,1.5639,-0.0232,3
2,0,0,0,-0.2733,0.2081,-0.1786,-0.524,0.504,-0.3366,-0.7473,0.6633,-0.5281,-0.9416,0.7993,-0.7148,-0.1987,1.0233,0.0866,-0.084,1.4071,0.0152,-0.1216,1.6059,-0.153,-0.2567,1.6862,-0.3042,-0.0205,0.993,0.0849,0.1052,1.4102,0.0413,0.041,1.6031,-0.1053,-0.1111,1.6594,-0.2434,0.1652,0.8973,0.0411,0.2675,1.2853,0.0401,0.2009,1.4873,-0.0421,0.0627,1.581,-0.1299,0.3351,0.7401,-0.0411,0.4084,1.0498,-0.0375,0.366,1.246,-0.0639,0.2699,1.3791,-0.0977,3
2,0,0,0,-0.2756,0.206,-0.1804,-0.5264,0.5035,-0.335,-0.7459,0.664,-0.521,-0.9405,0.8053,-0.7035,-0.2003,1.0249,0.086,-0.0875,1.4056,0.0173,-0.1215,1.6093,-0.1447,-0.2518,1.6998,-0.2913,-0.0197,0.993,0.0845,0.1023,1.4036,0.0455,0.0494,1.5969,-0.0931,-0.0915,1.6648,-0.226,0.1681,0.8967,0.0412,0.2774,1.2755,0.0415,0.2238,1.4686,-0.0317,0.098,1.5614,-0.1118,0.3385,0.7399,-0.0412,0.4064,1.06,-0.0376,0.3665,1.2468,-0.0581,0.273,1.3727,-0.0876,3
3,0,0,0,-0.2657,0.1989,-0.2378,-0.4411,0.4615,-0.4315,-0.5366,0.6319,-0.6247,-0.4871,0.7002,-0.7089,-0.2778,1.0288,0.0439,-0.2447,1.5416,0.0912,-0.3997,1.575,-0.1847,-0.4812,1.4359,-0.4029,-0.0867,0.9736,0.1069,-0.2577,0.9969,-0.3833,-0.2789,0.7177,-0.5272,-0.2086,0.5991,-0.4251,0.0873,0.816,0.0597,-0.1183,0.7805,-0.4783,-0.158,0.5363,-0.4983,-0.126,0.4376,-0.343,0.2246,0.6268,-0.0597,0.0352,0.6015,-0.4778,-0.0121,0.4112,-0.5112,0.0141,0.3125,-0.3823,3
3,0,0,0,-0.3351,0.1545,-0.2385,-0.5321,0.3978,-0.4276,-0.628,0.6337,-0.6011,-0.5014,0.7689,-0.6741,-0.2795,0.9943,0.0756,-0.215,1.4467,0.0083,-0.3797,1.521,-0.1722,-0.5007,1.3888,-0.3302,-0.0572,0.982,0.1184,-0.3612,0.992,-0.2806,-0.4205,0.6799,-0.3972,-0.335,0.5734,-0.3138,0.1363,0.8704,0.0668,-0.2157,0.797,-0.3537,-0.2864,0.517,-0.3408,-0.2311,0.4271,-0.1985,0.2664,0.7041,-0.0668,-0.0349,0.6192,-0.3889,-0.0903,0.4407,-0.3808,-0.0216,0.3716,-0.248,3
5,0,0,0,-0.3223,0.3131,-0.2052,-0.4643,0.6385,-0.3029,-0.5703,0.8362,-0.4364,-0.665,0.9716,-0.5876,-0.2353,1.0262,0.0695,-0.4329,1.0485,-0.373,-0.5377,1.0116,-0.7293,-0.6399,0.9475,-0.9953,-0.0633,0.9888,0.0883,-0.3342,1.0166,-0.3923,-0.4827,0.961,-0.7402,-0.608,0.8931,-1.0084,0.0925,0.8701,0.0466,-0.1699,0.9427,-0.4131,-0.3459,0.9353,-0.6914,-0.4945,0.9206,-0.8874,0.2152,0.6863,-0.0466,0.0525,0.8352,-0.3474,-0.0885,0.8995,-0.529,-0.2164,0.9396,-0.6643,3
5,0,0,0,-0.3175,0.3045,-0.2328,-0.472,0.6135,-0.3833,-0.6027,0.771,-0.5929,-0.7084,0.8661,-0.808,-0.2387,1.0273,0.0647,-0.4148,1.046,-0.3873,-0.4971,1.0052,-0.7505,-0.574,0.9318,-1.02,-0.0691,0.9879,0.0864,-0.3052,1.0225,-0.4008,-0.4284,0.9636,-0.7593,-0.5339,0.8896,-1.0367,0.087,0.8661,0.0468,-0.1414,0.9463,-0.4155,-0.2995,0.9371,-0.7022,-0.436,0.9172,-0.9066,0.211,0.6797,-0.0468,0.0694,0.8309,-0.3422,-0.0605,0.8949,-0.5259,-0.18,0.9336,-0.6674,3
7,0,0,0,-0.2637,0.2382,-0.064,-0.4684,0.5957,-0.1316,-0.6752,0.8614,-0.1597,-0.8935,0.9863,-0.0998,-0.2734,0.9768,-0.1639,-0.065,1.5359,-0.2829,0.0747,1.8734,-0.3593,0.1811,2.1234,-0.4172,-0.0604,0.9788,-0.1144,0.2077,1.4463,-0.1935,0.2011,1.2808,-0.1385,0.1094,1.0912,-0.0771,0.1521,0.9171,-0.043,0.374,1.3402,-0.1266,0.369,1.1698,-0.1498,0.2881,0.9706,-0.1386,0.3535,0.8308,0.043,0.4967,1.1788,-0.0523,0.4807,1.0284,-0.0753,0.4209,0.8397,-0.0696,3
7,0,0,0,-0.2227,0.2815,-0.0816,-0.4183,0.7268,-0.2162,-0.602,1.0359,-0.276,-0.8135,1.1708,-0.19,-0.3019,0.9976,-0.1634,-0.1115,1.5312,-0.3607,0.027,1.8562,-0.5104,0.1328,2.1031,-0.6258,-0.0937,0.9697,-0.1094,0.2313,1.5814,-0.3632,0.3114,1.4924,-0.3355,0.2821,1.326,-0.2523,0.1183,0.8902,-0.0388,0.3948,1.4373,-0.2664,0.4233,1.2946,-0.2932,0.3608,1.084,-0.252,0.3167,0.8041,0.0388,0.5164,1.2511,-0.165,0.5171,1.1825,-0.2015,0.4516,1.0343,-0.1761,3
